slot_index,time,total_load_kw,capacity_limit_kw,price_yuan_per_kwh
0,00:00,0.0000,120.0000,0.3500
1,00:15,0.0000,120.0000,0.3500
2,00:30,0.0000,120.0000,0.3500
3,00:45,0.0000,120.0000,0.3500
4,01:00,0.0000,120.0000,0.3500
5,01:15,0.5000,120.0000,0.3500
6,01:30,0.5000,120.0000,0.3500
7,01:45,0.5000,120.0000,0.3500
8,02:00,1.0000,120.0000,0.3500
9,02:15,0.9849,120.0000,0.3500
10,02:30,1.0000,120.0000,0.3500
11,02:45,1.0000,120.0000,0.3500
12,03:00,1.0000,120.0000,0.3500
13,03:15,1.0000,120.0000,0.3500
14,03:30,1.0000,120.0000,0.3500
15,03:45,1.0000,120.0000,0.3500
16,04:00,0.6215,120.0000,0.3500
17,04:15,0.5000,120.0000,0.3500
18,04:30,0.5000,120.0000,0.3500
19,04:45,0.5000,120.0000,0.3500
20,05:00,0.5000,120.0000,0.3500
21,05:15,0.5000,120.0000,0.3500
22,05:30,0.5000,120.0000,0.3500
23,05:45,0.0000,120.0000,0.3500
24,06:00,0.0000,90.0000,0.5000
25,06:15,0.0000,90.0000,0.5000
26,06:30,0.5000,90.0000,0.5000
27,06:45,1.0000,90.0000,0.5000
28,07:00,2.0000,90.0000,0.5000
29,07:15,2.5000,90.0000,0.5000
30,07:30,9.5000,90.0000,0.5000
31,07:45,9.5000,90.0000,0.5000
32,08:00,10.0000,80.0000,1.2000
33,08:15,10.5000,80.0000,1.2000
34,08:30,10.0000,80.0000,1.2000
35,08:45,11.0000,80.0000,1.2000
36,09:00,11.0000,80.0000,1.2000
37,09:15,24.1190,80.0000,1.2000
38,09:30,17.3992,80.0000,1.2000
39,09:45,17.0000,80.0000,1.2000
40,10:00,16.4359,80.0000,1.2000
41,10:15,15.5000,80.0000,1.2000
42,10:30,15.0135,80.0000,1.2000
43,10:45,15.5000,80.0000,1.2000
44,11:00,15.5000,80.0000,0.8000
45,11:15,12.4722,80.0000,0.8000
46,11:30,8.5000,80.0000,0.8000
47,11:45,8.5000,80.0000,0.8000
48,12:00,8.5000,100.0000,0.8000
49,12:15,8.0000,100.0000,0.8000
50,12:30,8.0000,100.0000,0.8000
51,12:45,7.7149,100.0000,0.8000
52,13:00,7.5000,100.0000,0.8000
53,13:15,7.5000,100.0000,0.8000
54,13:30,7.5000,100.0000,0.8000
55,13:45,7.5000,100.0000,0.8000
56,14:00,7.0000,100.0000,0.8000
57,14:15,7.0000,100.0000,0.8000
58,14:30,7.0000,100.0000,0.8000
59,14:45,0.0000,100.0000,0.8000
60,15:00,0.0000,100.0000,0.8000
61,15:15,0.0000,100.0000,0.8000
62,15:30,0.5000,100.0000,0.8000
63,15:45,0.5000,100.0000,0.8000
64,16:00,0.5000,100.0000,0.8000
65,16:15,1.0000,100.0000,0.8000
66,16:30,1.5000,100.0000,0.8000
67,16:45,1.5000,100.0000,0.8000
68,17:00,1.5000,50.0000,0.8000
69,17:15,1.5000,50.0000,0.8000
70,17:30,1.0000,50.0000,0.8000
71,17:45,15.0000,50.0000,0.8000
72,18:00,15.5000,50.0000,1.2000
73,18:15,16.5000,50.0000,1.2000
74,18:30,17.0000,50.0000,1.2000
75,18:45,17.0000,50.0000,1.2000
76,19:00,17.0000,50.0000,1.2000
77,19:15,16.9047,50.0000,1.2000
78,19:30,24.0000,50.0000,1.2000
79,19:45,33.7381,50.0000,1.2000
80,20:00,33.1116,50.0000,1.2000
81,20:15,39.4658,50.0000,1.2000
82,20:30,39.4545,50.0000,1.2000
83,20:45,39.9545,50.0000,1.2000
84,21:00,39.9545,50.0000,0.8000
85,21:15,47.4545,50.0000,0.8000
86,21:30,47.9545,50.0000,0.8000
87,21:45,47.9545,50.0000,0.8000
88,22:00,46.2938,90.0000,0.3500
89,22:15,37.7778,90.0000,0.3500
90,22:30,32.4545,90.0000,0.3500
91,22:45,28.4651,90.0000,0.3500
92,23:00,26.2193,90.0000,0.3500
93,23:15,26.7193,90.0000,0.3500
94,23:30,26.7193,90.0000,0.3500
95,23:45,24.4988,90.0000,0.3500
